['Z6', '南宁', '北京西', '郑州', '北京西', '', '', '', '', '¥251.0', '¥251.0', '¥163.0', '', '¥93.0', '¥93.0']
['Z6', '南宁', '北京西', '石家庄', '北京西', '', '', '', '', '¥135.5', '¥135.5', '¥89.5', '', '¥43.5', '¥43.5']
['Z11', '广州东', '沈阳北', '广州东', '长沙', '', '', '', '', '¥338.0', '¥338.0', '¥184.0', '', '¥105.0', '¥105.0']
['Z11', '广州东', '沈阳北', '广州东', '武昌', '', '', '', '', '¥452.5', '¥452.5', '¥254.5', '', '¥148.5', '¥148.5']
['Z11', '广州东', '沈阳北', '广州东', '郑州', '', '', '', '', '¥602.0', '¥602.0', '¥337.0', '', '¥198.0', '¥198.0']
['Z11', '广州东', '沈阳北', '广州东', '石家庄', '', '', '', '', '¥694.0', '¥694.0', '¥399.0', '', '¥236.0', '¥236.0']
['Z11', '广州东', '沈阳北', '广州东', '天津', '', '', '', '', '¥780.5', '¥780.5', '¥446.5', '', '¥263.5', '¥263.5']
['Z11', '广州东', '沈阳北', '广州东', '唐山', '', '', '', '', '¥805.5', '¥805.5', '¥455.5', '', '¥268.5', '¥268.5']
['Z11', '广州东', '沈阳北', '广州东', '北戴河', '', '', '', '', '¥839.5', '¥839.5', '¥471.5', '', '¥278.5', '¥278.5']
['Z11', '广州东', '沈阳北', '广州东', '秦皇岛', '', '', '', '', '¥839.5', '¥839.5', '¥483.5', '', '¥285.5', '¥285.5']
